Balázs Ágoston	IFUA Horváth & Partners	Kereskedelmi kisszervezet vezetője	agoston.balazs@hotmail.com	(30) 308-7837
Szőke Egon	Dorogi hanglemezgyár	Fordító, tolmács	egon.szoke@gmail.com	(70) 881-3975
Kis Aida	CTnetwork	Számviteli és pénzügyi részegység vezetője	kis.aida@gmail.com	(30) 758-4737
Balog Flóra	FM1 Konzorcium	Ipari kisszervezet vezetője	balog.flora@freemail.hu	(70) 179-3710
Jakab Mária	Aegon Magyarország Pénztárszolgáltató Rt.	Fodrász, borbély	jakab.maria@yahoo.com	(30) 423-1600
Papp Tihamér	Murányi Unió	Bérelszámoló	papp_tihamer@freemail.hu	(70) 518-7226
Balázs Szeréna	Diósgyőri Gépgyár	Felsőfokú tanintézeti tanár, oktató	balazs.szerena@mailbox.hu	(20) 885-1579
Fábián Annamária	Nemzeti Infrastruktúra-fejlesztő Zrt.	Épületasztalos	a.fabian@indamail.hu	(20) 649-1835
Jakab Ulrika	Tarr Kft.	Szakasszisztens (orvosi)	jakab_ulrika@gmail.com	(20) 939-3100
Sándor Veronika	Dunai Vasmű	Erősáramú villamosmérnök	veronika_sandor@gmail.com	(30) 377-6067
Bogdán Bánk	MAL Magyar Alumínium Termelő és Kereskedelmi Zrt.	Kézi anyagmozgató, csomagoló	b.bogdan@gmail.com	(30) 830-1382
Pásztor Elizeus	ÁPISZ	Mechanikai műszerész	e.pasztor@yahoo.com	(30) 756-7914
Szabó Gergely	Dorogi hőerőmű	Általános iskolai tanár, tanító, oktató	g.szabo@freemail.hu	(70) 783-5243
Veres Aranka	Fehér Ferenc Precíziós Mechanikai és Gépműhelye	Egyéb szakképzett oktatók, nevelők	veres.aranka@freemail.hu	(30) 707-4449
Simon Brúnó	Auguszt Cukrászda	Kereskedelmi részegység vezetője	bruno_simon@gmail.com	(70) 756-1051
Boros Zakariás	Melléktermék- és Hulladékhasznosító Vállalat	Kézi anyagmozgató, csomagoló	zakarias_boros@mailbox.hu	(70) 636-4264
Farkas Tétény	IFUA Horváth & Partners	Háztömbfelügyelő, házfelügyelő, házgondnok	farkas.teteny@gmail.com	(20) 440-1633
Virág Dzsenifer	Vodafone	Szakasszisztens (orvosi)	dzsenifer.virag@freemail.hu	(20) 937-9599
Somogyi Cecília	ANY Biztonsági Nyomda	Oktatási szolgáltatási kisszervezet vezetője	c.somogyi@gmail.com	(70) 187-3210
Magyar Márta,Flóra	ProfiPower	Területi közig., igazságszolg. közép vezetője	m.magyar@hotmail.com	(70) 906-8973
Oláh Paula	Sanoma Budapest Zrt.	Egyéb növénytermesztési és kertészeti foglalkozások	olah.paula@yahoo.com	(70) 647-6588
Pataki Matilda	Globex Holding	Mosónő, vasalónő	pataki.matilda@gmail.com	(20) 369-3664
Boros Szaniszló	Petőfi Nyomda	Szakács	szaniszlo.boros@indamail.hu	(70) 725-7827
Orosz Egyed	Salgótarjáni Öblösüveggyár	Oktatási szolgáltatási kisszervezet vezetője	orosz_egyed@gmail.com	(20) 988-2478
Dudás Valentin	FŐTÁV Zrt.	Bér- és társadalombiztosítási ügyintéző	valentin.dudas@gmail.com	(70) 485-4700
Király Jusztina	Offset és Játékkártya Nyomda Zrt.	Gyógypedagógus	kiraly_jusztina@citromail.hu	(30) 603-8769
Balog Frigyes	MVM Magyar Villamos Művek Zrt.	Szakápoló	balog.frigyes@gmail.com	(70) 586-9614
Borbély Kunigunda	Telefongyár	Szállítási és raktározási részegység közv. term.ir.	k.borbely@yahoo.com	(70) 270-9717
Dudás Oszkár	Röck István Gépgyára	Iparművész	dudas.oszkar@vipmail.hu	(20) 637-5737
Deák Paulina	Auguszt Cukrászda	Egyéb irodai jellegű foglalkozások	p.deak@indamail.hu	(70) 124-7532
Fazekas Richárd	Miskolci Gőztéglagyár	Ipari részegység vezetője	r.fazekas@gmail.com	(70) 494-6946
Hajdú Valér	Magyar Pénzügyi Közvetítő Zrt.	Fegyveres erők felsőfokú foglalkozásai	valer.hajdu@freemail.hu	(30) 650-3078
Kozma Kartal	Moskovits Sámuel vasöntödéje és gépgyára	Építőipari részegység vezetője	kartal.kozma@yahoo.com	(70) 559-2828
Borbély Mária	Versys Clinics	Vezeték- és csőhálózat-szerelő	maria.borbely@mailbox.hu	(30) 569-8800
Budai Franciska	Herendi Porcelánmanufaktúra	Védőnő	budai_franciska@yahoo.com	(30) 134-6204
Halász Emánuel	Labor Műszeripari Művek	Egyéb magasan képzett ügyintézők	halasz_emanuel@mailbox.hu	(70) 512-1472
Virág Szilárd	K&H Bank	Egyéb magasan képzett ügyintézők	virag_szilard@gmail.com	(70) 895-8552
Hajdú Árpád	Zsolnay Porcelánmanufaktúra Zrt.	Szarvasmarhatartó és -tenyésztő	hajdu.arpad@gmail.com	(20) 885-1150
Bogdán Imre	Borsodi Sörgyár Zrt.	Fegyveres erők felsőfokú foglalkozásai	imre.bogdan@gmail.com	(30) 887-6175
Faragó Imelda	Pick Szeged Zrt.	Egyéb szakképzett oktatók, nevelők	i.farago@indamail.hu	(70) 816-5736
Tamás Filippa	Dorogi hőerőmű	Óvónő	tamas_filippa@hotmail.com	(70) 846-6079
Budai Gellért	Tartós állami tulajdonú társasági részesedéssel működő társaságok	Ipari kisszervezet vezetője	g.budai@citromail.hu	(30) 832-3064
Szilágyi Atanáz	MAL Magyar Alumínium Termelő és Kereskedelmi Zrt.	Szakorvos	szilagyi_atanaz@vipmail.hu	(30) 333-6057
Bogdán Botond	Invitel	Gyengeáramú villamosmérnök	bogdan.botond@gmail.com	(30) 891-4250
Szűcs Margit	MATERal	Fegyveres erők középfokú foglalkozásai	margit.szucs@yahoo.com	(70) 187-6512
Szőke Placida	Gyulaj Erdészeti és Vadászati Zrt.	Cipész, cipőkészítő, -javító	szoke.placida@freemail.hu	(70) 661-2364
Gál János	ELTE Idegennyelvi Továbbképző Központ	Szállító- és rakodómunkás	j.gal@freemail.hu	(30) 198-4578
Lengyel Izidor	Gamma (gyár)	Hegesztő, lángvágó	izidor_lengyel@gmail.com	(30) 149-9353
Németh Géza	Pécsi Bőrgyár	Postai kézbesítő	g.nemeth@gmail.com	(30) 168-6167
Hegedűs Péter	Buda-Cash Brókerház Zrt.	Piackutató, marketingtevékenységet végző	p.hegedus@hotmail.com	(70) 673-9769
Váradi Leó	Senior	Egészségügyi, oktatási szolgáltatási foglalkozások	l.varadi@gmail.com	(30) 376-3507
Vincze Vince	Budapesti Finomkötöttárugyár	Egyéb szakképzett oktatók, nevelők	vince_vincze@indamail.hu	(30) 114-3636
Fekete Eulália	REMIX Rádiótechnikai Vállalat	Ipari kisszervezet vezetője	eulalia.fekete@gmail.com	(20) 212-7642
Pásztor Apor	Melléktermék- és Hulladékhasznosító Vállalat	Egyéb fémmegmunkálók, felületkezelők	a.pasztor@gmail.com	(30) 649-4540
Oláh Emília	KDB Bank (Magyarország)	Mezőgazdasági vontatóvezető	olah.emilia@gmail.com	(30) 660-4635
Balla Léda	Első Magyar Koncessziós Autópálya Rt.	Egyszerű szolgáltatási jellegű foglalkozások	l.balla@vipmail.hu	(30) 878-3177
Hajdú Péter	Röck István Gépgyára	Egyéb növénytermesztési és kertészeti foglalkozások	p.hajdu@hotmail.com	(30) 332-2332
